,Sampling Type,Sample Size,class_error,rec_error,Analytic Reconstruction Error,Analytic Classification Error,graph_id,num_conv_layers
110,Classification-optimal,50,0.0,1.6906224e-06,-0.13693333,0.0,8,1
111,Classification-optimal,51,0.0,3.2081647e-07,-0.014904022,0.0,8,1
112,Classification-optimal,52,0.0,1.4237737e-07,0.0027742386,0.00015542474,8,1
113,Classification-optimal,53,0.0,3.031052e-08,0.0028848648,0.0,8,1
114,Classification-optimal,54,0.0,3.316624e-08,0.0027046204,0.00038071134,8,1
115,Classification-optimal,55,0.0,2.399723e-08,0.001750946,0.0,8,1
116,Classification-optimal,56,0.0,2.8877073e-08,0.0014877319,0.0,8,1
117,Classification-optimal,57,0.0,2.6901903e-08,0.0011777878,0.0,8,1
118,Classification-optimal,58,0.0,1.9064766e-08,0.00097084045,0.0,8,1
119,Classification-optimal,59,0.0,1.9787747e-08,0.0008401871,0.0,8,1
120,Classification-optimal,60,0.0,3.4039733e-08,0.00082206726,0.0,8,1
121,Classification-optimal,61,0.0,1.3845056e-08,0.0010004044,0.0,8,1
122,Reconstruction-optimal,1,224.0,6470.3667,6272.0,237.04034,8,1
123,Reconstruction-optimal,2,211.0,6344.0117,6143.9995,228.50482,8,1
124,Reconstruction-optimal,3,218.0,6220.2783,6016.0,221.24487,8,1
125,Reconstruction-optimal,4,195.0,6086.2925,5887.9995,215.97281,8,1
126,Reconstruction-optimal,5,208.0,5947.817,5760.0,210.44804,8,1
127,Reconstruction-optimal,6,211.0,5795.9316,5632.0,204.9806,8,1
128,Reconstruction-optimal,7,212.0,5635.575,5504.0,199.66605,8,1
129,Reconstruction-optimal,8,216.0,5523.55,5376.0,194.37799,8,1
130,Reconstruction-optimal,9,208.0,5379.262,5248.0,190.99417,8,1
131,Reconstruction-optimal,10,205.0,5245.0327,5120.0,186.46727,8,1
132,Reconstruction-optimal,11,203.0,5124.1606,4992.0005,182.29518,8,1
133,Reconstruction-optimal,12,186.0,5009.8315,4864.0,178.21822,8,1
134,Reconstruction-optimal,13,166.0,4892.605,4736.0,173.15117,8,1
135,Reconstruction-optimal,14,155.0,4762.9214,4608.0,169.3609,8,1
136,Reconstruction-optimal,15,176.0,4627.5933,4480.0,165.86108,8,1
137,Reconstruction-optimal,16,169.0,4478.4893,4352.0,162.63145,8,1
138,Reconstruction-optimal,17,171.0,4328.769,4224.0,156.94252,8,1
139,Reconstruction-optimal,18,167.0,4213.7676,4096.0,153.608,8,1
140,Reconstruction-optimal,19,159.0,4089.5757,3968.0005,148.85023,8,1
141,Reconstruction-optimal,20,158.0,3965.7427,3840.0,146.54799,8,1
142,Reconstruction-optimal,21,134.0,3830.7656,3712.0002,143.27222,8,1
143,Reconstruction-optimal,22,143.0,3719.8743,3583.9998,139.54028,8,1
144,Reconstruction-optimal,23,135.0,3616.7988,3456.0,134.72197,8,1
