index,Sampling Criterion,Sample Size,τ,graph_id
57,Conf. Ellips.,58,-0.4709983297784362,2
58,Conf. Ellips.,59,-0.4800758596863915,2
59,Conf. Ellips.,60,-0.8624527429587516,2
60,Conf. Ellips.,61,-0.37877450677733293,2
61,Conf. Ellips.,62,-0.7144800552910453,2
62,Conf. Ellips.,63,-0.4519360552764198,2
63,Conf. Ellips.,64,-0.4092799095223569,2
64,Conf. Ellips.,65,-0.26737083759377783,2
65,Conf. Ellips.,66,-0.3016340624691125,2
66,Conf. Ellips.,67,-0.3650439106944816,2
67,Conf. Ellips.,68,-0.2582710727719572,2
68,Conf. Ellips.,69,-0.20237552895249422,2
69,Conf. Ellips.,70,-0.25663789635354134,2
70,Conf. Ellips.,71,-0.18723662503839195,2
71,Conf. Ellips.,72,-0.134087159966262,2
