Graph,Sampling Criterion,μ,Sample Size,log MSE,log MSE bound
0,Uniform Random,1.0,34,-6.55299,4.1654779925893255
0,Uniform Random,1.0,35,-6.5772943,4.175132444668677
0,Uniform Random,1.0,36,-6.608447,4.185011765088338
0,Uniform Random,1.0,37,-6.6694875,4.1950829802118355
0,Uniform Random,1.0,38,-6.6820493,4.205316837606633
0,Uniform Random,1.0,39,-6.793484,4.215687330219224
0,Uniform Random,1.0,40,-6.807861,4.226171352483969
0,Uniform Random,1.0,41,-6.827794,4.2367483119844005
0,Uniform Random,1.0,42,-6.846981,4.24739992278972
0,Uniform Random,1.0,43,-7.0376716,4.258109835109234
0,Uniform Random,1.0,44,-7.049016,4.268863479289035
0,Uniform Random,1.0,45,-7.1221604,4.279647897215819
